Id,SalePrice
1461,119404.3331853349
1462,159310.67822353292
1463,183177.58103671958
1464,200261.64311719127
1465,192671.78026746737
1466,169025.24420508783
1467,174289.09005294528
1468,162600.58872931337
1469,194230.66963165975
1470,116161.41258371265
1471,183455.8965151908
1472,94189.41034475021
1473,92466.01822359113
1474,145663.47121847508
1475,113579.4868619176
1476,359635.6478541872
1477,243948.50279759135
1478,286209.91973856057
1479,284971.2767920464
1480,514585.85594315926
1481,327128.7727462808
1482,214983.75835475035
1483,177281.904532903
1484,163954.94294854318
1485,187565.90773941207
1486,194174.90024717062
1487,336929.4718536172
1488,230058.65045864717
1489,191996.77573613863
1490,249583.11708924017
1491,190371.6000686731
1492,93397.78624105694
1493,179452.91415227065
1494,288597.95742306963
1495,291612.46891317685
1496,242795.27898752922
1497,182170.38053392872
1498,167088.4838447465
1499,161935.00418481638
1500,158661.33400948442
1501,176127.39596525746
1502,148410.66365877754
1503,294262.8163017068
1504,239901.19109063427
1505,226943.41326064258
1506,195796.18173131833
1507,254805.04130949566
1508,201413.10628434469
1509,155628.79336375996
1510,143744.16023712308
1511,149608.4642530903
1512,174178.8001556612
1513,142415.816446419
1514,155010.9613056104
1515,189930.07724707402
1516,152096.89303661004
1517,175066.67951361468
1518,134121.28578298198
1519,202959.24961959783
1520,129146.7386494636
1521,133559.4180087216
1522,179681.26076483694
1523,110569.45541191041
1524,126152.22173907931
1525,120807.7197283844
1526,109984.22917147574
1527,105069.91754083366
1528,139015.5397976274
1529,149361.77807627598
1530,186895.68465625346
1531,107996.9134676592
1532,98320.87449182701
1533,148036.88082156153
1534,122264.52348236757
1535,149143.9470068223
1536,109690.42872878964
1537,59943.68091904487
1538,149523.37644396795
1539,187161.1297292859
1540,97046.25113323872
1541,142868.6693804243
1542,140284.03755766657
1543,193276.7883861123
1544,85533.62691107475
1545,113602.99793326455
1546,131528.90112103973
1547,129932.44360245184
1548,133953.96748537396
1549,118295.30296681979
1550,131785.4284587547
1551,107575.28802906742
1552,139204.29887456886
1553,148486.87264769676
1554,117521.8908138046
1555,168501.7367192812
1556,91136.03409542672
1557,108116.99361660636
1558,104048.50606631728
1559,77574.59723287557
1560,131231.87656175016
1561,125704.56097347251
1562,130381.40184178148
1563,120139.19366961831
1564,161194.71613541024
1565,144215.46880690087
1566,239931.1667268728
1567,78569.46099251443
1568,243754.41022644946
1569,129337.6350035339
1570,138819.61044666963
1571,119632.16074083332
1572,146900.9720767167
1573,237496.3279580806
1574,120361.30360745716
1575,230569.9751971399
1576,247829.88502732565
1577,178627.3556273319
1578,149869.9713954383
1579,145984.82245726063
1580,193545.54521038363
1581,164727.1256774637
1582,126196.50255573267
1583,308063.75992801326
1584,220041.12464127754
1585,136514.83668059297
1586,67686.04941608045
1587,103193.49992231376
1588,156424.0725113068
1589,99432.71502708798
1590,134276.3992578216
1591,97303.38869083342
1592,117078.12921467694
1593,120941.48089860089
1594,123253.53539326506
1595,109798.82420304198
1596,220375.21799526573
1597,188900.00755330175
1598,211445.65668554287
1599,164883.32231560716
1600,157153.5775041229
1601,60909.90766752943
1602,115159.33893831218
1603,79265.6792658471
1604,266808.0750908639
1605,236533.09316728392
1606,169197.32324264286
1607,177039.3774293599
1608,215769.36572899285
1609,180219.48397794788
1610,149666.26377263336
1611,141174.4015746975
1612,169037.6808182855
1613,165313.96196185777
1614,128355.5732744331
1615,92537.54739821304
1616,80175.50695056272
1617,93422.15786037351
1618,127178.27668575039
1619,136886.3266516724
1620,150442.18130594498
1621,135404.23325010567
1622,138511.74942910593
1623,259200.70873803558
1624,213656.63286726183
1625,117639.69941472937
1626,169486.03583883744
1627,193436.15648031473
1628,282495.45219141734
1629,175372.02918540372
1630,352917.54208766826
1631,217526.51668726266
1632,239088.0927367478
1633,168792.32680073444
1634,182641.6281462886
1635,170875.2296455294
1636,148742.61154753747
1637,201656.873854593
1638,183840.7266838861
1639,186252.69472073897
1640,255427.9161657267
1641,181670.75628244915
1642,245900.60779165407
1643,218806.50523136175
1644,235987.78608865268
1645,205183.83113135942
1646,157549.16766149667
1647,157042.04234367012
1648,127161.26678529379
1649,140715.820882254
1650,110649.67673652427
1651,119688.95838876204
1652,95194.85168178979
1653,97674.20882094541
1654,140491.46702595506
1655,131179.1808892544
1656,138601.74463545618
1657,143232.5944513296
1658,141819.04628553288
1659,117651.70609025631
1660,151430.25479374276
1661,453419.874116821
1662,390481.4955496617
1663,373043.9018533513
1664,527256.2011314787
1665,296778.3339321981
1666,329540.37998788094
1667,383413.234506036
1668,338220.7975547077
1669,297833.4764240714
1670,335626.24001712195
